folioviv,foliohog,numren,clave,material,gasto,gasto_tri
02051900401,1,03,E004A,140,140,406.45
02051900402,1,04,E004B,250,250,725.8
02051900402,1,04,E004A,750,750,2177.41
02052772706,1,02,E002A,600,600,1741.93
02052983602,1,04,E003A,350,350,1050
02053832204,1,01,E005A,500,500,1451.61
02055031504,1,04,E003B,40,40,120
02055031504,1,04,E003A,150,150,450
02056002402,1,08,E002A,200,200,580.64
02056002402,1,08,E002B,400,400,1161.29
02056591206,1,02,E004A,175,175,508.06
02056752506,1,03,E004A,700,700,2032.25
02056752506,1,05,E002B,900,900,2612.9
02056752506,1,04,E003A,900,900,2612.9
02057030902,1,04,E003B,50,50,160.71
02057030902,1,04,E003A,400,400,1285.71
02057030904,1,07,E003A,700,700,2249.99
02057030904,1,08,E002A,500,500,1607.14
02057090802,1,05,E001B,1600,1600,5142.85
02057090802,1,04,E002B,1200,1200,3857.14
02057232903,1,04,E004A,800,800,2400
02057232905,1,05,E002A,560,560,1680
02057652106,1,03,E005B,1500,1500,4500
02057871104,1,05,E005A,300,300,870.96
02058642006,1,04,E002B,6,6,18
02058900805,1,05,E002A,150,150,482.14
02058900805,1,04,E002A,150,150,482.14
02058982704,1,03,E002A,225,225,653.22
02058982704,1,03,E002B,275,275,798.38
02058982705,1,03,E002A,300,300,870.96
02058982705,1,03,E002B,300,300,870.96
02058982706,1,06,E002B,75,75,217.74
02058982706,1,06,E002A,225,225,653.22
02058982706,1,07,E002B,250,250,725.8
02058982706,1,05,E003A,250,250,725.8
02063531403,1,03,E002B,300,300,900
02063531403,1,03,E002A,200,200,600
02063531403,1,02,E002B,300,300,900
02063531403,1,02,E002A,200,200,600
02063531406,1,04,E004A,200,200,600
02065040605,1,04,E005B,300,300,870.96
02065040605,1,05,E005A,2000,2000,5806.45
02065040605,1,05,E005B,300,300,870.96
02065040605,1,06,E003B,500,500,1451.61
02065040605,1,04,E005A,2500,2500,7258.06
02065750702,1,03,E004A,250,250,803.57
02067262205,1,03,E003A,225,225,653.22
02068723006,1,04,E003B,390,390,1170
02068852602,1,03,E003B,400,400,1161.29
02068852602,1,05,E002B,100,100,290.32
02068852602,1,05,E002A,300,300,870.96
02068852602,1,04,E003B,200,200,580.64
02068852602,1,03,E003A,300,300,870.96
02068852602,1,04,E003A,400,400,1161.29
02068852603,1,04,E002B,100,100,290.32
02068852603,1,04,E002A,300,300,870.96
02068852603,1,03,E002A,300,300,870.96
02068852603,1,03,E002B,100,100,290.32
02071210606,1,03,E005A,400,400,1161.29
02071210606,1,04,E004A,300,300,870.96
02071210606,1,05,E003A,300,300,870.96
02073950904,1,03,E002B,220,220,707.14
02073950904,1,03,E002A,380,380,1221.42
02073950906,1,05,E002A,300,300,964.28
02074642702,1,04,E003A,400,400,1161.29
02074642702,1,04,E003B,200,200,580.64
02074642702,1,03,E005A,400,400,1161.29
02074642706,1,03,E005A,120,120,348.38
02075780001,1,08,E002B,100,100,300
02075780001,1,08,E002A,400,400,1200
02075780001,1,09,E002B,100,100,300
02075780001,1,07,E004A,500,500,1500
02075780001,1,09,E002A,400,400,1200
02075780001,1,07,E004B,200,200,600
02075780907,1,02,E005A,400,400,1285.71
02075780907,1,02,E005B,100,100,321.42
02075782004,1,03,E005A,700,700,2100
02075782902,1,03,E004A,600,600,1800
02075782902,1,04,E004A,600,600,1800
02075782902,1,03,E004B,400,400,1200
02075782902,1,04,E004B,400,400,1200
02075782903,1,04,E003B,100,100,300
02075782903,1,04,E003A,400,400,1200
02075911202,1,03,E003A,300,300,870.96
02075911202,1,03,E003B,100,100,290.32
02075911205,1,04,E002B,200,200,580.64
02075911205,1,03,E005A,600,600,1741.93
02075911205,1,04,E002A,300,300,870.96
02075912401,1,03,E002B,900,900,2612.9
02075912403,1,04,E002B,600,600,1741.93
02076101105,1,03,E002A,200,200,580.64
02076101105,1,03,E002B,200,200,580.64
02076103001,1,05,E002A,80,80,240
02076103001,1,06,E002A,75,75,225
02076103005,1,04,E002A,400,400,1200
02076103005,1,04,E002B,200,200,600
02077692505,1,03,E005A,800,800,2322.58
02077692505,1,02,E006B,300,300,870.96
02077692505,1,02,E006A,700,700,2032.25
02077692505,1,03,E005B,200,200,580.64
02079382704,1,04,E004A,600,600,1741.93
02079382704,1,04,E004B,900,900,2612.9
02079781004,1,03,E004A,200,200,580.64
02079781005,1,06,E002A,400,400,1161.29
02079781005,1,05,E002B,300,300,870.96
02079781005,1,05,E002A,400,400,1161.29
02079781005,1,06,E002B,300,300,870.96
02079870803,1,05,E002A,60,60,192.85
02079870803,1,04,E003A,120,120,385.71
02079872204,1,03,E004A,200,200,580.64
02079873101,1,03,E001B,230,230,667.74
02080400703,1,04,E004A,250,250,803.57
02080400703,1,05,E002A,200,200,642.85
02080400706,1,03,E002A,100,100,321.42
02080400706,1,04,E002A,100,100,321.42
02080402601,1,03,E002A,140,140,406.45
02080402601,1,04,E002A,140,140,406.45
02080402605,1,03,E002A,400,400,1161.29
02080402605,1,04,E002A,300,300,870.96
02080490104,1,03,E002A,200,200,580.64
02080490104,1,03,E002B,100,100,290.32
02080492501,1,05,E002B,200,200,580.64
02080492501,1,05,E002A,300,300,870.96
02080492501,1,04,E003B,500,500,1451.61
